,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location,latitude,longitude,Zipcode
0,11401303,9/13/10,9/12/10,45,14,Pacific,1485,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,W,101.0,STREET,,,IC,Invest Cont,740.0,,,,SEPULVEDA                    BL,MANCHESTER                   AV,"(33.9599, -118.3962)",33.9599,-118.3962,90045
1,70309629,8/9/10,8/9/10,1515,13,Newton,1324,946,OTHER MISCELLANEOUS CRIME,344,0,M,H,103.0,ALLEY,,,IC,Invest Cont,946.0,,,,1300 E  21ST                         ST,,"(34.0224, -118.2524)",34.0224,-118.2524,90021
2,100100508,1/8/10,1/7/10,2005,1,Central,182,330,BURGLARY FROM VEHICLE,344,46,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,PICO                         BL,GRAND                        AV,"(34.0389, -118.2643)",34.0389,-118.2643,90015
3,100100511,1/9/10,1/6/10,2100,1,Central,132,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,55,M,W,710.0,OTHER PREMISE,,,IC,Invest Cont,341.0,998.0,,,200 S  OLIVE                        ST,,"(34.0538, -118.2488)",34.0538,-118.2488,90071
4,100100523,1/15/10,1/15/10,245,1,Central,182,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,24,F,W,102.0,SIDEWALK,,,AA,Adult Arrest,740.0,,,,1100 S  OLIVE                        ST,,"(34.0409, -118.2609)",34.0409,-118.2609,90015
5,100100552,1/23/10,1/23/10,1225,1,Central,192,237,CHILD NEGLECT (SEE 300 W.I.C.),1251,11,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,237.0,,,,1300 S  FLOWER                       ST,,"(34.0401, -118.2668)",34.0401,-118.2668,90015
6,100100562,1/28/10,1/28/10,2345,1,Central,152,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,28,M,O,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,500 S  GRAND                        AV,,"(34.0502, -118.254)",34.0502,-118.254,90071
7,100100575,2/1/10,1/31/10,1720,1,Central,181,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1402,36,M,W,710.0,OTHER PREMISE,,,AA,Adult Arrest,341.0,,,,1100 S  FIGUEROA                     ST,,"(34.0437, -118.2652)",34.0437,-118.2652,90015
8,100100610,2/11/10,2/10/10,1800,1,Central,162,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402,23,M,B,404.0,DEPARTMENT STORE,,,AA,Adult Arrest,442.0,998.0,,,700 W  7TH                          ST,,"(34.048, -118.2577)",34.048,-118.2577,90071
9,100100616,2/11/10,2/11/10,1515,1,Central,192,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1212,0,M,H,102.0,SIDEWALK,,,AA,Adult Arrest,341.0,,,,PICO,GRAND,"(34.0389, -118.2643)",34.0389,-118.2643,90015
